subscriptionReferenceNumber,productLanguage,productStatus,subscriptionType,groupName,quantity,seats,packSize,subscriptionStatus,lastPurchaseDate,startDate,endDate,description,productLine,productLineCode,solutionDivision,release,deployment,licensingModel,subscriptionLevel,switchType,switchYear,opportunityNumber,licenseType,activationType,programType,contract.number,contract.startDate,contract.endDate,contract.term,contract.billingBehavior,contract.subType,contract.renewalCounter,ews.adoptionHealth.currentMonth,ews.adoptionHealth.bimonthly1,ews.adoptionHealth.bimonthly2,ews.adoptionHealth.bimonthly3,ews.adoptionHealth.bimonthly4,ews.adoptionHealth.bimonthly5,ews.adoptionHealth.bimonthly6,ews.adoptionHealth.bimonthly7,ews.adoptionHealth.bimonthly8,ews.adoptionHealth.bimonthly9,ews.adoptionHealth.bimonthly10,ews.onboardingHealth.health,ews.onboardingHealth.score,ews.onboardingHealth.accessDriver,ews.onboardingHealth.discoveryDriver,ews.onboardingHealth.productUtilizationScoreDriver,ews.onboardingHealth.supportDriver,ews.retentionHealth.score,ews.retentionHealth.riskBand,ews.retentionHealth.customerProfileScoreDriver,ews.retentionHealth.productUtilizationDriver,ews.retentionHealth.productProfileScoreDriver,ews.retentionHealth.subscriptionEngagementScoreDriver,accounts.soldTo.csn,accounts.soldTo.name,accounts.reseller.csn,accounts.reseller.name,accounts.reseller.localLanguageName,accounts.reseller.type,accounts.reseller.address1,accounts.reseller.address2,accounts.reseller.address3,accounts.reseller.city,accounts.reseller.stateProvince,accounts.reseller.postalCode,accounts.reseller.country,accounts.nurtureReseller.csn,accounts.nurtureReseller.name,accounts.nurtureReseller.lockdate,accounts.nurtureReseller.nurtureDiscountEligibility,endCustomer.account.endCustomerCsn,endCustomer.account.name,endCustomer.account.type,endCustomer.account.address1,endCustomer.account.address2,endCustomer.account.address3,endCustomer.account.city,endCustomer.account.stateProvince,endCustomer.account.postalCode,endCustomer.account.country,endCustomer.account.individualFlag,endCustomer.account.namedAccountFlag,endCustomer.account.namedAccountGroup,endCustomer.account.parentIndustryGroup,endCustomer.account.parentIndustrySegment,endCustomer.contractManager.first,endCustomer.contractManager.last,endCustomer.contractManager.email,endCustomer.contractManager.address1,endCustomer.contractManager.address2,endCustomer.contractManager.address3,endCustomer.contractManager.city,endCustomer.contractManager.stateProvince,endCustomer.contractManager.postalCode,endCustomer.contractManager.country,endCustomer.contractManager.phone,endCustomer.contractManager.fax,endCustomer.contractManager.status,endCustomer.contractManager.portalRegistration,endCustomer.contractManager.doNotCall,endCustomer.contractManager.doNotEmail,endCustomer.contractManager.doNotMail,endCustomer.softwareCoordinator.first,endCustomer.softwareCoordinator.last,endCustomer.softwareCoordinator.email,endCustomer.softwareCoordinator.address1,endCustomer.softwareCoordinator.address2,endCustomer.softwareCoordinator.address3,endCustomer.softwareCoordinator.city,endCustomer.softwareCoordinator.stateProvince,endCustomer.softwareCoordinator.postalCode,endCustomer.softwareCoordinator.country,endCustomer.softwareCoordinator.phone,endCustomer.softwareCoordinator.fax,endCustomer.softwareCoordinator.status,endCustomer.softwareCoordinator.doNotCall,endCustomer.softwareCoordinator.doNotEmail,endCustomer.softwareCoordinator.doNotMail
567-38727465,WW,Registered,Renewable Subscription,,1,1,0,Expired,01/10/2020,26/09/2019,06/11/2019,Civil 3D 2020 Non-Language Specific,Civil 3D,CIV3D,,2020,S,TERM,GOLDA,,,,New,Serial Number,,1.10002E+11,08/09/2017,07/09/2021,Annual,Renewable,Silver/Gold,3,Dormant,Dormant,Dormant,Dormant,Dormant,Growing,Growing,No use,Growing,Disengaging alarming,Disengaging alarming,,0.344999751,,,,,0.344999751,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5126719695,Infraestructura Energética Nova S.A.B. de C.V.,End Customer,Paseo de la Reforma 342,Col Juarez,Cuauhtemoc,Ciudad de México,DF,6600,Mexico,false,true,Territory,Multi AEC Lead,Utilities & Telecom,Guillermo,Corona,gcorona@ienova.com.mx,Paseo de la Reforma 342,Col Juarez,Cuauhtemoc,Ciudad de México,DF,6600,Mexico,5.25591E+11,,Active,Registered,false,false,true,Guillermo,Corona,gcorona@ienova.com.mx,Paseo de la Reforma 342,Col Juarez,Cuauhtemoc,Ciudad de México,DF,6600,Mexico,5.25591E+11,,Active,false,false,true
567-38727465,WW,Registered,Renewable Subscription,,1,1,0,Active,01/10/2020,07/11/2019,07/09/2021,Civil 3D 2020 Non-Language Specific,Civil 3D,CIV3D,,2020,S,TERM,GOLDA,,,,New,Sign On,,1.10002E+11,08/09/2017,07/09/2021,Annual,Renewable,Silver/Gold,3,Dormant,Dormant,Dormant,Dormant,Dormant,Growing,Growing,No use,Growing,Disengaging alarming,Disengaging alarming,,0.344999751,,,,,0.344999751,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5126719695,Infraestructura Energética Nova S.A.B. de C.V.,End Customer,Paseo de la Reforma 342,Col Juarez,Cuauhtemoc,Ciudad de México,DF,6600,Mexico,false,true,Territory,Multi AEC Lead,Utilities & Telecom,Guillermo,Corona,gcorona@ienova.com.mx,Paseo de la Reforma 342,Col Juarez,Cuauhtemoc,Ciudad de México,DF,6600,Mexico,5.25591E+11,,Active,Registered,false,false,true,Guillermo,Corona,gcorona@ienova.com.mx,Paseo de la Reforma 342,Col Juarez,Cuauhtemoc,Ciudad de México,DF,6600,Mexico,5.25591E+11,,Active,false,false,true
567-39305408,WW,Registered,Renewable Subscription,,1,1,0,Expired,17/09/2020,27/09/2019,10/10/2019,AutoCAD - including specialized toolsets AD Non-Language Specific,AutoCAD - including specialized toolsets,ACDIST,,AD,S,TERM,GOLDA,,,,New,Serial Number,,1.10003E+11,27/09/2019,26/09/2021,Annual,Renewable,Silver/Gold,1,No use,No use,No use,No use,No use,No segment,No segment,No segment,No segment,No segment,No segment,,0.2914889,,,,,0.2914889,Very High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5144914525,Desarrollos Construvida Sapi de C.V.,End Customer,Av Patria 1721 Int Piso 10,Suite 1002,Los Colomos,Guadalajara,JAL,44660,Mexico,false,false,Territory,,,Ricardo,Romero,ricardo@isacorporativo.com,Gabriel de Anunnzio 5601 Int 1,Col Jardines Universidad,,Guadalajara,JAL,45110,Mexico,,,Active,Registered,true,false,true,Ricardo,Romero,ricardo@isacorporativo.com,Gabriel de Anunnzio 5601 Int 1,Col Jardines Universidad,,Guadalajara,JAL,45110,Mexico,,,Active,true,false,true
567-39305408,WW,Registered,Renewable Subscription,,1,1,0,Active,17/09/2020,11/10/2019,26/09/2021,AutoCAD - including specialized toolsets AD Non-Language Specific,AutoCAD - including specialized toolsets,ACDIST,,AD,S,TERM,GOLDA,,,,New,Sign On,,1.10003E+11,27/09/2019,26/09/2021,Annual,Renewable,Silver/Gold,1,No use,No use,No use,No use,No use,No segment,No segment,No segment,No segment,No segment,No segment,,0.2914889,,,,,0.2914889,Very High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5144914525,Desarrollos Construvida Sapi de C.V.,End Customer,Av Patria 1721 Int Piso 10,Suite 1002,Los Colomos,Guadalajara,JAL,44660,Mexico,false,false,Territory,,,Ricardo,Romero,ricardo@isacorporativo.com,Gabriel de Anunnzio 5601 Int 1,Col Jardines Universidad,,Guadalajara,JAL,45110,Mexico,,,Active,Registered,true,false,true,Ricardo,Romero,ricardo@isacorporativo.com,Gabriel de Anunnzio 5601 Int 1,Col Jardines Universidad,,Guadalajara,JAL,45110,Mexico,,,Active,true,false,true
712-10054144,WW,Registered,Renewable Subscription,,4,4,0,Expired,,27/02/2020,21/08/2020,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,A-13178610,Upgrade,Serial Number,,7.121E+11,27/02/2020,26/02/2021,Annual,Renewable,Silver/Gold,0,,,,,,,,,,,,,0,,,,,0,,,,,,70007748,Ingram Micro Mexico S.A. de C.V. (OPEN),70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5101949125,Promotora y Desarrolladora Mexicana S.A. de C.V.,End Customer,Av Universidad 2014 Piso 2,Col Copilco Universidad,,Ciudad de México,DF,4360,Mexico,false,true,Territory,AEC,Construction Services,Luis,Takenaga Fukushima,ltakenaga@prodemex.com,Av Universidad 2014 Piso 2,Col Copilco Universidad,,Ciudad de México,DF,4360,Mexico,5.25551E+11,,Active,Registered,true,false,true,Luis,Takenaga Fukushima,ltakenaga@prodemex.com,Av Universidad 2014 Piso 2,Col Copilco Universidad,,Ciudad de México,DF,4360,Mexico,5.25551E+11,,Active,true,false,true
712-10054144,WW,Registered,Renewable Subscription,,4,4,0,Expired,,22/08/2020,26/02/2021,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,A-13178610,Upgrade,Sign On,,7.121E+11,27/02/2020,26/02/2021,Annual,Renewable,Silver/Gold,0,,,,,,,,,,,,,0,,,,,0,,,,,,70007748,Ingram Micro Mexico S.A. de C.V. (OPEN),70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,28/11/2020,false,5101949125,Promotora y Desarrolladora Mexicana S.A. de C.V.,End Customer,Av Universidad 2014 Piso 2,Col Copilco Universidad,,Ciudad de México,DF,4360,Mexico,false,true,Territory,AEC,Construction Services,Luis,Takenaga Fukushima,ltakenaga@prodemex.com,Av Universidad 2014 Piso 2,Col Copilco Universidad,,Ciudad de México,DF,4360,Mexico,5.25551E+11,,Active,Registered,true,false,true,Luis,Takenaga Fukushima,ltakenaga@prodemex.com,Av Universidad 2014 Piso 2,Col Copilco Universidad,,Ciudad de México,DF,4360,Mexico,5.25551E+11,,Active,true,false,true
712-10046849,WW,Registered,Renewable Subscription,,1,1,0,Expired,04/09/2020,10/09/2019,08/08/2020,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,,Upgrade,Serial Number,,7.121E+11,10/09/2019,09/09/2021,Annual,Renewable,Silver/Gold,1,Stable mid,Stable mid,Stable mid,Dormant,Stable low,Stable low,No segment,No segment,No segment,No segment,No segment,,0.540136885,,,,,0.540136885,High,,,,,5127591516,Ingram Micro Mexico S.A. de C.V,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5137966906,Eventelecom S.A. de C.V.,End Customer,Jose Mariano Jimenez 490,,,Monterrey,NL,64000,Mexico,false,true,Territory,,,Marcos,Diaz,marcos.diaz@neutralnetworks.mx,JIMENEZ 490,CENTRO,,MONTERREY,NL,64000,Mexico,5.28123E+11,,Active,Registered,false,false,false,Marcos,Diaz,marcos.diaz@neutralnetworks.mx,JIMENEZ 490,CENTRO,,MONTERREY,NL,64000,Mexico,5.28123E+11,,Active,false,false,false
712-10046849,WW,Registered,Renewable Subscription,,1,1,0,Active,04/09/2020,09/08/2020,09/09/2021,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,,Upgrade,Sign On,,7.121E+11,10/09/2019,09/09/2021,Annual,Renewable,Silver/Gold,1,Stable mid,Stable mid,Stable mid,Dormant,Stable low,Stable low,No segment,No segment,No segment,No segment,No segment,,0.540136885,,,,,0.540136885,High,,,,,5127591516,Ingram Micro Mexico S.A. de C.V,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5137966906,Eventelecom S.A. de C.V.,End Customer,Jose Mariano Jimenez 490,,,Monterrey,NL,64000,Mexico,false,true,Territory,,,Marcos,Diaz,marcos.diaz@neutralnetworks.mx,JIMENEZ 490,CENTRO,,MONTERREY,NL,64000,Mexico,5.28123E+11,,Active,Registered,false,false,false,Marcos,Diaz,marcos.diaz@neutralnetworks.mx,JIMENEZ 490,CENTRO,,MONTERREY,NL,64000,Mexico,5.28123E+11,,Active,false,false,false
712-10049626,WW,Registered,Renewable Subscription,,2,2,0,Expired,09/10/2020,12/11/2019,19/08/2020,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,,Upgrade,Serial Number,,7.121E+11,12/11/2019,11/11/2021,Annual,Renewable,Silver/Gold,1,Growing,Highly engaged,No segment,No segment,No segment,No segment,No segment,No segment,No segment,No segment,No segment,,0.526275372,,,,,0.526275372,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5125450068,Midori Auto Leather Mexicana,End Customer,Av Central 145,Parque Logistico,,San Luis Potosí,SLP,78420,Mexico,false,false,Territory,AEC,Buildings,Software,Midori,software@midoriautoleather.com.mx,Av Central 145,Parque Logistico,,San Luis Potosí,SLP,78420,Mexico,5.24448E+11,,Active,Registered,false,false,true,Software,Midori,software@midoriautoleather.com.mx,Av Central 145,Parque Logistico,,San Luis Potosí,SLP,78420,Mexico,5.24448E+11,,Active,false,false,true
712-10049626,WW,Registered,Renewable Subscription,,2,2,0,Active,09/10/2020,20/08/2020,11/11/2021,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,,Upgrade,Sign On,,7.121E+11,12/11/2019,11/11/2021,Annual,Renewable,Silver/Gold,1,Growing,Highly engaged,No segment,No segment,No segment,No segment,No segment,No segment,No segment,No segment,No segment,,0.526275372,,,,,0.526275372,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5125450068,Midori Auto Leather Mexicana,End Customer,Av Central 145,Parque Logistico,,San Luis Potosí,SLP,78420,Mexico,false,false,Territory,AEC,Buildings,Software,Midori,software@midoriautoleather.com.mx,Av Central 145,Parque Logistico,,San Luis Potosí,SLP,78420,Mexico,5.24448E+11,,Active,Registered,false,false,true,Software,Midori,software@midoriautoleather.com.mx,Av Central 145,Parque Logistico,,San Luis Potosí,SLP,78420,Mexico,5.24448E+11,,Active,false,false,true
712-10048697,WW,Registered,Renewable Subscription,,1,1,0,Expired,30/09/2020,23/10/2019,18/08/2020,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,,Upgrade,Serial Number,,7.121E+11,23/10/2019,22/10/2021,Annual,Renewable,Silver/Gold,1,Stable mid,Stable mid,Disengaging alarming,Stable mid,No segment,No segment,No segment,No segment,No segment,No segment,No segment,,0.400277598,,,,,0.400277598,High,,,,,5127591516,Ingram Micro Mexico S.A. de C.V,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5133600364,Licencia Para Crear S.A. de C.V.,End Customer,Av Aviacion 5051,Col San Juan de Ocotan,,Zapopan,JAL,45019,Mexico,false,true,Territory,,,Salvador,Olvera Ávila,solvera@tecnoliteaplicaciones.com,Av Aviacion 5051,Col San Juan de Ocotan,,Zapopan,JAL,45019,Mexico,5.23321E+11,,Active,Registered,false,false,true,Salvador,Olvera Ávila,solvera@tecnoliteaplicaciones.com,Av Aviacion 5051,Col San Juan de Ocotan,,Zapopan,JAL,45019,Mexico,5.23321E+11,,Active,false,false,true
712-10048697,WW,Registered,Renewable Subscription,,1,1,0,Active,30/09/2020,19/08/2020,22/10/2021,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,,Upgrade,Sign On,,7.121E+11,23/10/2019,22/10/2021,Annual,Renewable,Silver/Gold,1,Stable mid,Stable mid,Disengaging alarming,Stable mid,No segment,No segment,No segment,No segment,No segment,No segment,No segment,,0.400277598,,,,,0.400277598,High,,,,,5127591516,Ingram Micro Mexico S.A. de C.V,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5133600364,Licencia Para Crear S.A. de C.V.,End Customer,Av Aviacion 5051,Col San Juan de Ocotan,,Zapopan,JAL,45019,Mexico,false,true,Territory,,,Salvador,Olvera Ávila,solvera@tecnoliteaplicaciones.com,Av Aviacion 5051,Col San Juan de Ocotan,,Zapopan,JAL,45019,Mexico,5.23321E+11,,Active,Registered,false,false,true,Salvador,Olvera Ávila,solvera@tecnoliteaplicaciones.com,Av Aviacion 5051,Col San Juan de Ocotan,,Zapopan,JAL,45019,Mexico,5.23321E+11,,Active,false,false,true
712-10054572,WW,Registered,Renewable Subscription,,1,1,0,Expired,,06/03/2020,21/08/2020,ACADLT 2021 TL:UBT PA WW ELD UG SCF,AutoCAD LT,ACDLT,,2021,S,TERM,GOLDA,,,A-13243276,Upgrade,Serial Number,,7.121E+11,06/03/2020,05/03/2021,Annual,Renewable,Silver/Gold,0,,,,,,,,,,,,,0,,,,,0,,,,,,70007748,Ingram Micro Mexico S.A. de C.V. (OPEN),70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5148016433,Servicio de Ing. Comercializacion,End Customer,205 Veracruz,,,Ciudad de México,DF,1790,Mexico,false,true,Territory,,,Manuel,Solano cisneros,manuel.s@joulesgreen.com,205 Veracruz,,,Ciudad de México,DF,1790,Mexico,5.25519E+11,,Active,Registered,false,false,true,Manuel,Solano cisneros,manuel.s@joulesgreen.com,205 Veracruz,,,Ciudad de México,DF,1790,Mexico,5.25519E+11,,Active,false,false,true
570-52941545,WW,Registered,Renewable Subscription,,4,4,0,Active,12/10/2020,26/11/2020,25/11/2023,Architecture Engineering & Construction Collection IC Non-Language Specific,Architecture Engineering & Construction Collection,AECCOL,,IC,S,TERM,GOLDA,M2SMU,,,Crossgrade,Sign On,SU1,1.10003E+11,26/11/2020,25/11/2023,3-Year,Renewable,Silver/Gold,,,,,,,,,,,,,,,,,,,,,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5080097086,Ginsatec S.A. de C.V.,End Customer,Av Francia 1459,,,Guadalajara,JAL,44190,Mexico,false,true,Territory,AEC,Construction Services,Moises,Soltero,msoltero@ginsatec.com.mx,Av Francia 1459,,,Guadalajara,JAL,44190,Mexico,5233381720,5.23338E+11,Active,Registered,false,false,false,Moises,Soltero,msoltero@ginsatec.com.mx,Av Francia 1459,,,Guadalajara,JAL,44190,Mexico,5233381720,5.23338E+11,Active,false,false,false
569-94448466,WW,Registered,Renewable Subscription,,1,1,0,Active,26/08/2020,26/08/2020,25/08/2021,Maya 2020 Non-Language Specific,Maya,MAYA,,2020,S,TERM,GOLDA,,,,New,Sign On,,1.10003E+11,26/08/2020,25/08/2021,Annual,Renewable,Silver/Gold,,,,,,,,,,,,,,0.361785788,,,,,0.361785788,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5150758490,Baware S.A. de C.V.,End Customer,Pirules Ext Mz 22 Lt 14 Int 5,San Jose,,Chicoloapan,MEX,56370,Mexico,false,true,Territory,,,Mauricio,Olvera,mauricio.olvera@bwr.mx,Av 609 140 San Juan de Aragon,,,Cdmx,DF,7970,Mexico,55555555,,Active,Registered,false,false,true,Mauricio,Olvera,mauricio.olvera@bwr.mx,Av 609 140 San Juan de Aragon,,,Cdmx,DF,7970,Mexico,55555555,,Active,false,false,true
570-00229864,WW,Registered,Renewable Subscription,,1,1,0,Active,04/09/2020,04/09/2020,03/09/2021,AutoCAD - including specialized toolsets AD Non-Language Specific,AutoCAD - including specialized toolsets,ACDIST,,AD,S,TERM,GOLDA,,,,New,Sign On,,1.10003E+11,04/09/2020,03/09/2021,Annual,Renewable,Silver/Gold,,,,,,,,,,,,,,0.656200675,,,,,0.656200675,Medium,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5132655959,Mems III,End Customer,Blvd Presidente Adolfo Ruiz,Cortinez 130,,Cdmx,DF,,Mexico,false,true,Territory,,,Soporte,Ti,soporte.ti@fermaca.com.mx,Blvd Presidente Adolfo Ruiz,Cortinez 130,,Cdmx,DF,,,5.25551E+11,,Active,Active,false,false,true,Soporte,Ti,soporte.ti@fermaca.com.mx,Blvd Presidente Adolfo Ruiz,Cortinez 130,,Cdmx,DF,,,5.25551E+11,,Active,false,false,true
570-42235616,WW,Registered,Renewable Subscription,,4,4,0,Active,21/09/2020,21/09/2020,20/09/2021,AutoCAD - including specialized toolsets AD Non-Language Specific,AutoCAD - including specialized toolsets,ACDIST,,AD,S,TERM,GOLDA,,,,New,Sign On,,1.10003E+11,21/09/2020,20/09/2021,Annual,Renewable,Silver/Gold,,,,,,,,,,,,,,0.542806237,,,,,0.542806237,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5150793796,Maquinas Austral S.A. de C.V.,End Customer,Calle 65 S/N,,,Umán,YUC,97390,Mexico,false,true,Territory,,,Sandra,Pozos,sandra.pozos@grupo-sanmartin.com,Calle 65 S/N Entre 58 y 60,Fracc Granjas Futura,,Umán,YUC,97390,Mexico,5.29889E+11,,Active,Active,false,false,true,Sandra,Pozos,sandra.pozos@grupo-sanmartin.com,Calle 65 S/N Entre 58 y 60,Fracc Granjas Futura,,Umán,YUC,97390,Mexico,5.29889E+11,,Active,false,false,true
569-88414373,WW,Registered,Renewable Subscription,,40,40,0,Active,18/08/2020,18/08/2020,17/08/2023,Architecture Engineering & Construction Collection IC Non-Language Specific,Architecture Engineering & Construction Collection,AECCOL,,IC,S,TERM,GOLDA,,,,New,Sign On,,1.10003E+11,18/08/2020,17/08/2023,3-Year,Renewable,Silver/Gold,,,,,,,,,,,,,,,,,,,,,,,,,70028227,COMPUCAD S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,70028227,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,false,false,,,,Servicios,Cad,servicios.cad@compucad.com.mx,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,5.26144E+11,,Active,Incomplete Registration,false,false,true,Servicios,Cad,servicios.cad@compucad.com.mx,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,5.26144E+11,,Active,false,false,true
566-81653952,WW,Registered,Renewable Subscription,,7,7,0,Expired,26/08/2020,10/07/2019,28/08/2019,AutoCAD - including specialized toolsets AD Non-Language Specific,AutoCAD - including specialized toolsets,ACDIST,,AD,S,TERM,GOLDA,,,,New,Serial Number,,1.10003E+11,10/07/2019,09/07/2021,Annual,Renewable,Silver/Gold,1,No use,No use,No use,No use,No use,No use,No use,No use,No use,No use,No use,,0.436885773,,,,,0.436885773,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5121394024,Auditoria Superior del Estado de Jalisco.,End Customer,Av Ninos Heroes 2409,Col Moderna,,Guadalajara,JAL,44190,Mexico,false,true,Territory,AEC,Oil & Gas,Salvador,Cárdenas martos,scardenas@asej.gob.mx,Av Circunvalacion Agustin Yanez 24,Col Moderna,,Guadalajara,JAL,44190,Mexico,5.23313E+11,,Active,Registered,true,false,true,Salvador,Cárdenas martos,scardenas@asej.gob.mx,Av Circunvalacion Agustin Yanez 24,Col Moderna,,Guadalajara,JAL,44190,Mexico,5.23313E+11,,Active,true,false,true
566-81653952,WW,Registered,Renewable Subscription,,7,7,0,Active,26/08/2020,29/08/2019,09/07/2021,AutoCAD - including specialized toolsets AD Non-Language Specific,AutoCAD - including specialized toolsets,ACDIST,,AD,S,TERM,GOLDA,,,,New,Sign On,,1.10003E+11,10/07/2019,09/07/2021,Annual,Renewable,Silver/Gold,1,No use,No use,No use,No use,No use,No use,No use,No use,No use,No use,No use,,0.436885773,,,,,0.436885773,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5121394024,Auditoria Superior del Estado de Jalisco.,End Customer,Av Ninos Heroes 2409,Col Moderna,,Guadalajara,JAL,44190,Mexico,false,true,Territory,AEC,Oil & Gas,Salvador,Cárdenas martos,scardenas@asej.gob.mx,Av Circunvalacion Agustin Yanez 24,Col Moderna,,Guadalajara,JAL,44190,Mexico,5.23313E+11,,Active,Registered,true,false,true,Salvador,Cárdenas martos,scardenas@asej.gob.mx,Av Circunvalacion Agustin Yanez 24,Col Moderna,,Guadalajara,JAL,44190,Mexico,5.23313E+11,,Active,true,false,true
